sent notifications from a case,"It should be possible to track the sent notifications from a case. Especially, reminders and escalations.",https://signavio.productboard.com/detail/MTpQbUVudGl0eTpiMzc2MmU4YS05YTFhLTQzYmEtOTIwNS1jN2MyYWViZjJmMDM=
Improve Email Tasks capabilities,"Daimler Legal and Integrity Team would like to have the option to put people or user groups in ""cc"" in their email tasks",https://signavio.productboard.com/detail/MTpQbUVudGl0eTo3M2ViMDlkZi02ODA4LTQ5MGQtYmE0My0yYzliMmMxZTJlNTQ=
Improve Email Tasks capabilities,"The customer is asking if it was possible to add CC and BCC fields to the action type 'send e-mail' (see attachment) in Workflow Accelerator. At least the e-mail variable has got this field already (https://documentation.signavio.com/suite/en-us/Content/workflow-accelerator/developerguide/data-types-and-formats.htm#type-email)

Source of the inquiry: Issue https://jira.signavio.com/browse/SCS-45233",https://signavio.productboard.com/detail/MTpQbUVudGl0eTo3M2ViMDlkZi02ODA4LTQ5MGQtYmE0My0yYzliMmMxZTJlNTQ=
Improve email message when assigned to task,"The customer is requesting the ability to update the email message that is automatically generated when a task is assigned to a candidate group in SPG, similar to how they can update the message in an email task.",https://signavio.productboard.com/detail/MTpQbUVudGl0eTo2MGM5MDU0Zi0xYmEwLTQxYjQtYjBmMy1lOGQ4N2JiYzMwMGQ=
Granular email notifications settings for tasks & cases,"Request Details
Customer wants an option where they can disable email notifications separately only for tasks or cases or comments.
Use Case
Currently, if Receive notifications via email button is disabled in My Profile - Preferences (Process Governance), then the user won't receive notifications both for tasks, cases and comments. Customer does not want to receive notifications for cases and tasks, but they want to receive notifications for comments.
Pain Points (Please be detailed)
Customer is bothered by the Signavio email system (PG). They want to be able to individually disable notifications for tasks, cases, comments.
Benefits (Please justify the request)
By providing customers to be able to enable and disable separately notifications by their type, they would be able to customize their email notification usage due to their business needs and won't be bothered by the huge amount of emails.
SNOW case: https://sap.service-now.com/now/cwf/agent/record/sn_customerservice_case/aaa9aebdeb930a548695f3d7cad0cd0b",https://signavio.productboard.com/detail/MTpQbUVudGl0eTo2NzUyNmQ2Yi0yMjk1LTQwN2YtYWM1Yi03MjE5MjJjOThjOGU=
System Notifications,"And this automatic automatic trigger which should Trigger, for example at 8:00 AM in the morning like 50 controls or so and then.
If we I don't know if the JavaScript execution is then not working then we don't have like the controls trigger which is.
And then what we have to do?
I'll wait then and I'll trigger everything again. But I think the longest period was like 2 hours or so, which we had. But this is this was like a few months ago and this was really annoying because the customer wanted us to trigger everything and we just run into the error again and again and again and couldn't make anything.",https://signavio.productboard.com/detail/MTpQbUVudGl0eTo2ZTlhMjY2YS1lNjZiLTQxMzktODZlOS0xNWZiYWFjMzA4YWI=
Modify email notifications,"Request Details
In Process Governance currently, we are not able to customize email notifications. A standard/default template is used, which cannot be edited.
Use Case
Customer would like to edit Notification templates in PG.
Pain Points (Please be detailed)
Customer uses subtasks in PG added to Cases tasks. Customer is looking for a possibility to change the template of the e-mail in subtasks, because now they are getting a Signavio template for this ""New task in case.... was assigned to you"" or ""you are candidate..."" but they want to change that template to add more details to it.

Related KBA: https://me.sap.com/notes/3161082/E

SNOW case: https://sap.service-now.com/now/cwf/agent/record/sn_customerservice_case/bc1e16b7eb8f82906abaf34abad0cdfc/params/selected-tab-index/0/sub/record/sn_customerservice_case/bc1e16b7eb8f82906abaf34abad0cdfc",https://signavio.productboard.com/detail/MTpQbUVudGl0eTpiZmM0MmZkZS1iZTU4LTQyZDYtYTgzMy01YjRkNGNhODc0M2Q=
Commenting features,"The problem is located in the Process Governance module, specifically in the file upload functionality within comments of cases/tasks. The lack of configuration options to disable uploads is the trigger for this issue.",https://signavio.productboard.com/detail/MTpQbUVudGl0eTo3NDEzZGViZC0yNzY1LTQ5OGUtYmM2Mi1kOGQ0NGJjYTZmM2Q=
Notifications delivery,"Customer asking for some kind of ""sent e-mails"" folder, at least with the information: subject, title, attachments, addressees + possible download of the e-mail as a file.",https://signavio.productboard.com/detail/MTpQbUVudGl0eTowMjlmNmExMS1hZjJjLTRhMjAtYTJkMi02NDg0YjlkM2RhNjg=
Notifications delivery,"Request Details:
We are requesting a feature that allows for proactive notification if emails are not successfully sent to users. This feature should provide alerts for any potential compliance issues that may arise due to non-delivery of critical communications.
Use Case:
Our organization sends important emails to our customers relating to compliance and regulatory requirements. It is crucial for us to ensure that these emails are successfully delivered and received by the intended recipients. If there are any issues with email delivery, we need to be notified in a timely manner to take appropriate action and prevent potential compliance issues.
Pain Points:
Currently, we lack visibility into whether emails are successfully delivered to users. This lack of visibility could lead to compliance issues on the customer side if important communications are not received. Without proactive notification of email delivery issues, we are at risk of non-compliance with regulatory requirements.
Benefits:
Proactive notification of email delivery issues will allow us to take immediate action to rectify any non-delivery problems.
Enhanced visibility into email delivery status will help mitigate compliance risks and ensure that critical communications reach the intended recipients.
This feature will minimize the potential for customer-side compliance issues by addressing email delivery issues in a proactive and timely manner.",https://signavio.productboard.com/detail/MTpQbUVudGl0eTowMjlmNmExMS1hZjJjLTRhMjAtYTJkMi02NDg0YjlkM2RhNjg=
Allow comment creators to delete their own comments,"Customer KPMG IT Services GmbH has highlighted the need for comment creators to have the ability to delete their own comments within the Process Governance module. The current functionality allows users to add comments but does not provide options for editing or deleting them. This enhancement aims to give users more control over their input, aiding in better process management and communication.",https://signavio.productboard.com/detail/MTpQbUVudGl0eTphYmY1YzBlYS1kZmNiLTQ4NGMtYjhlZi1hYmNiODcwNzNjZWI=
Rule-based notifications,"We are requesting the addition of a feature to send email notifications based on a custom date attribute, ""Next Review Date,"" within SAP Signavio BPMN models. The notifications should be sent to process owners and modelers under the following conditions:
30 days before the ""Next Review Date.""
On the ""Next Review Date.""
1 week after the ""Next Review Date.""",https://signavio.productboard.com/detail/MTpQbUVudGl0eTpiNmExNzlkNS00NWU1LTQ2NmEtOGM5Yy1kYTliMTMxNmZiZjE=
Allow Viewing of Case Comments Without Task Access,"If a user who has only start-rights is mentioned in the case, cannot see the comment, because of missing access rights. It should be possible to show the case without any tasks (or other solution) in order to show the comment.
Alternatively should be sent a message via e-mail to the mentioned user.",https://signavio.productboard.com/detail/MTpQbUVudGl0eTpiNDNiMTQxMi0zZTQ0LTRiMzQtOTRjMC0wNjI3OWVmMjdmMDQ=
Improve Task Identification Markers in Comments,"For complex models, it can be quite difficult to identify the task that somebody has commented on. Even more so in Editor, where the display does not jump to the task when clicked from the comments list.
Customer requesting a better marker - using colours for example like for dictionary categories. That way it would be easier to detect the corresponding task on a visual level",https://signavio.productboard.com/detail/MTpQbUVudGl0eTo2MmMwZWUyNy05YzFiLTRmNjAtYTlmZS1kOWRiZDUyYTc0NDU=
Digital Signature for Emails,"Siemens AG requests that in any case Signavio (Process Governance) sends automated emails, they need a signature that guarantees the
authenticity of the sender. This is a basic requirement in their cybersecurity ruleset.",https://signavio.productboard.com/detail/MTpQbUVudGl0eTo2MTJmNjhlNS1hNmVlLTRkZmUtYjc0MS1mNjY1NThhNTUwMjE=
Access to sent notification,"Customer has observed some delays and few discrepancies with the Process Governance email address ( notification@workflow.signavio.com)
and thus wanted to see the earlier sent emails. And thus the request for a report. More than the report, having an access to the email box would have been advantageous. If its not possible for now, pls consider it in the features request list. Interesting information would be
email Recepient, email content, email sent date",https://signavio.productboard.com/detail/MTpQbUVudGl0eTpkYmNlMDcwNC02ZWY2LTQyOGUtYjFjYy0xNDJkYjhhNjVkN2I=
